,filename,class,width,height,frames_per_second,num_frames
0,April_09_brush_hair_u_nm_np1_ba_goo_0.avi,brush_hair,320,240,30.0,409
1,April_09_brush_hair_u_nm_np1_ba_goo_1.avi,brush_hair,320,240,30.0,395
2,April_09_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,323
3,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4.avi,brush_hair,416,240,30.0,246
4,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3.avi,brush_hair,416,240,30.0,159
5,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0.avi,brush_hair,416,240,30.0,137
6,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi,brush_hair,416,240,30.0,359
7,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2.avi,brush_hair,416,240,30.0,191
8,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3.avi,brush_hair,320,240,30.0,439
9,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,528
10,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,647
11,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0.avi,brush_hair,320,240,30.0,260
12,Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0.avi,brush_hair,320,240,30.0,79
13,Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1.avi,brush_hair,320,240,30.0,274
14,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1.avi,brush_hair,416,240,30.0,256
15,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2.avi,brush_hair,416,240,30.0,247
16,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4.avi,brush_hair,416,240,30.0,115
17,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3.avi,brush_hair,416,240,30.0,181
18,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0.avi,brush_hair,416,240,30.0,502
19,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6.avi,brush_hair,416,240,30.0,159
20,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5.avi,brush_hair,416,240,30.0,275
21,Brushing_Hair_with_Beth_brush_hair_h_nm_np1_le_goo_0.avi,brush_hair,320,240,30.0,214
22,Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,143
23,Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,312
24,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,318
25,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_1.avi,brush_hair,320,240,30.0,144
26,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_2.avi,brush_hair,320,240,30.0,258
27,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_3.avi,brush_hair,320,240,30.0,105
28,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,227
29,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,228
30,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,348
31,Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_1.avi,brush_hair,320,240,30.0,121
32,Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,295
33,Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,83
